origin_id,LCODE_C1,LCODE_C2,LCODE_C3,C1_NAME,C2_NAME,C3_NAME,time_to_medical_min,time_to_shelter_min,medical_access_score_normal,shelter_access_score_normal,x_3826,y_3826,nearest_medical_id_Q1point1,time_to_medical_min_Q1point1,medical_access_score_Q1point1,nearest_shelter_id_Q1point1,time_to_shelter_min_Q1point1,shelter_access_score_Q1point1,nearest_medical_id_Q10,time_to_medical_min_Q10,medical_access_score_Q10,nearest_shelter_id_Q10,time_to_shelter_min_Q10,shelter_access_score_Q10,nearest_medical_id_Q25,time_to_medical_min_Q25,medical_access_score_Q25,nearest_shelter_id_Q25,time_to_shelter_min_Q25,shelter_access_score_Q25,nearest_medical_id_Q50,time_to_medical_min_Q50,medical_access_score_Q50,nearest_shelter_id_Q50,time_to_shelter_min_Q50,shelter_access_score_Q50,nearest_medical_id_Q100,time_to_medical_min_Q100,medical_access_score_Q100,nearest_shelter_id_Q100,time_to_shelter_min_Q100,shelter_access_score_Q100
19,05,0502,050201,建築使用土地,住宅,純住宅,6.543155251626234,1.9895806754169838,0.7818948249457922,0.9336806441527672,230069.70096082217,2433313.4007196366,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
20,05,0502,050201,建築使用土地,住宅,純住宅,6.543155251626234,1.9895806754169838,0.7818948249457922,0.9336806441527672,230045.25510875165,2433360.1467279946,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21,05,0502,050201,建築使用土地,住宅,純住宅,11.619180793086326,7.065606216877075,0.6126939735637891,0.7644797927707642,229669.77767050016,2432291.487998897,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
22,05,0502,050201,建築使用土地,住宅,純住宅,7.196917237264624,1.1133297108136468,0.7601027587578458,0.9628890096395452,232760.21664494593,2432689.930292136,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452
23,05,0502,050201,建築使用土地,住宅,純住宅,8.468677668594845,2.3850901421438686,0.7177107443801718,0.920496995261871,232723.82545506957,2432199.8671634523,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
24,05,0502,050201,建築使用土地,住宅,純住宅,7.1601202361485905,1.0765327096976147,0.7613293254617136,0.9641155763434128,232690.7614499277,2432690.5658157873,,,0.0,0.0,1.0765327096976147,0.9641155763434128,,,0.0,0.0,1.0765327096976147,0.9641155763434128,,,0.0,0.0,1.0765327096976147,0.9641155763434128,,,0.0,0.0,1.0765327096976147,0.9641155763434128,,,0.0,0.0,1.0765327096976147,0.9641155763434128
25,05,0502,050201,建築使用土地,住宅,純住宅,7.979535423909357,1.8959478974583814,0.7340154858696881,0.9368017367513872,232571.45953363032,2432390.5634987587,,,0.0,0.0,1.8959478974583814,0.9368017367513872,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
26,05,0502,050201,建築使用土地,住宅,純住宅,6.886811204954081,0.8032236785031044,0.7704396265015306,0.9732258773832299,232500.4829280999,2432674.613132661,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299
27,05,0502,050201,建築使用土地,住宅,純住宅,6.4175288931125865,0.3339413666616108,0.7860823702295805,0.9888686211112796,232111.38119040374,2432583.677632655,,,0.0,0.0,0.3339413666616108,0.9888686211112796,,,0.0,0.0,0.3339413666616108,0.9888686211112796,,,0.0,0.0,0.3339413666616108,0.9888686211112796,,,0.0,0.0,0.3339413666616108,0.9888686211112796,,,0.0,0.0,0.3339413666616108,0.9888686211112796
28,05,0502,050201,建築使用土地,住宅,純住宅,6.731828182744885,0.5394894415252183,0.7756057272418372,0.982017018615826,232075.40445131474,2432709.3642520644,,,0.0,0.0,0.5394894415252183,0.982017018615826,,,0.0,0.0,0.5394894415252183,0.982017018615826,,,0.0,0.0,0.5394894415252183,0.982017018615826,,,0.0,0.0,0.5394894415252183,0.982017018615826,,,0.0,0.0,0.5394894415252183,0.982017018615826
